unix_ms,frame,world_pos_x,world_pos_y,world_pos_z,center_screen_pos_x,center_screen_pos_y,center_screen_pos_z,left_screen_pos_x,left_screen_pos_y,left_screen_pos_z,right_screen_pos_x,right_screen_pos_y,right_screen_pos_z
1765412132471,14732,0,1.25,0.5,860.811,549.5795,0.5521089,873.7833,549.5794,0.5521089,827.4677,549.5797,0.5521089
1765412132485,14733,0,1.25,0.5,861.228,549.382,0.5520984,873.9967,549.382,0.5520985,827.6801,549.3821,0.5520985
1765412132498,14734,0,1.25,0.5,861.5754,549.2922,0.5521283,874.1729,549.2923,0.5521283,827.8588,549.2923,0.5521283
1765412132513,14735,0,1.25,0.5,862.0864,548.918,0.5520582,874.4366,548.9178,0.5520582,828.1167,548.918,0.5520582
1765412132527,14736,0,1.25,0.5,862.5496,548.5433,0.5519694,874.6768,548.5435,0.5519694,828.3494,548.5435,0.5519694
1765412132540,14737,0,1.25,0.5,863.0701,548.2874,0.5519043,874.9453,548.2874,0.5519043,828.6125,548.2874,0.5519043
1765412132554,14738,0,1.25,0.5,863.5076,547.942,0.5518212,875.1722,547.942,0.5518212,828.8324,547.9418,0.5518213
1765412132568,14739,0,1.25,0.5,864.1387,547.5045,0.5517129,875.499,547.5042,0.5517129,829.1501,547.5043,0.5517129
1765412132582,14740,0,1.25,0.5,864.6503,546.8385,0.5515987,875.765,546.8387,0.5515987,829.4065,546.8387,0.5515987
1765412132596,14741,0,1.25,0.5,865.1327,546.2669,0.5515254,876.0143,546.2672,0.5515254,829.6497,546.2669,0.5515254
1765412132610,14742,0,1.25,0.5,865.503,545.7216,0.551438,876.2071,545.7216,0.551438,829.8351,545.7216,0.551438
1765412132624,14743,0,1.25,0.5,866.1479,545.3214,0.5513344,876.5406,545.3216,0.5513344,830.16,545.3216,0.5513344
1765412132638,14744,0,1.25,0.5,866.6783,545.2031,0.5512957,876.8131,545.2031,0.5512956,830.4291,545.2031,0.5512956
1765412132652,14745,0,1.25,0.5,867.2825,545.1985,0.5512658,877.1229,545.1987,0.5512658,830.7364,545.1987,0.5512658
1765412132666,14746,0,1.25,0.5,867.7502,545.3381,0.5512602,877.362,545.3381,0.5512601,830.975,545.338,0.5512602
1765412132680,14747,0,1.25,0.5,868.3536,545.5399,0.5512667,877.6698,545.5396,0.5512666,831.2834,545.5399,0.5512666
